wavelength,transmission
,
,
,
,
,
,
,
,
,
289.0,2.3830459157536737e-05
291.0,0.0001234745173310966
293.0,0.00044797340374535047
295.0,0.001268794659783996
297.0,0.0030652548367741755
299.0,0.006282774215716854
301.0,0.011503412023010992
303.0,0.01871122186522433
305.0,0.027813694388359865
307.0,0.039240083303808314
309.0,0.052460258179133544
311.0,0.06691158186289546
313.0,0.08318278713764998
315.0,0.10241868431510222
317.0,0.12152471324513767
319.0,0.13897273874881189
321.0,0.15735274961566853
323.0,0.1748314158536996
325.0,0.19065943557610263
327.0,0.20599296927956462
329.0,0.22011719514856373
331.0,0.23369502103333537
333.0,0.2463460779447789
335.0,0.2559699814088247
337.0,0.2659705463280422
339.0,0.2769967567866806
341.0,0.2859124091473969
343.0,0.2944369481027756
345.0,0.3034592134051578
347.0,0.31145476766446645
349.0,0.3194889585235846
351.0,0.32739322274811716
353.0,0.33504625290723766
355.0,0.3431334548245572
357.0,0.3507280679833832
359.0,0.3582057162713034
361.0,0.36563529422344165
363.0,0.3730621608440439
365.0,0.38047285252369756
367.0,0.38772370054036276
369.0,0.39496685181536534
371.0,0.40212042590857006
373.0,0.4091897835461181
375.0,0.416110144871335
377.0,0.42299905664159876
379.0,0.4298711748154348
381.0,0.4366199199082965
383.0,0.44328525686469566
385.0,0.4498903292844424
387.0,0.45643037451378177
389.0,0.46293744247577406
391.0,0.46949259317864983
393.0,0.4759021653678032
395.0,0.48217767846936377
397.0,0.488338518481617
399.0,0.49437939809029885
401.0,0.5003262833530014
403.0,0.5062642469738625
405.0,0.5120367985027063
407.0,0.5178283523439827
409.0,0.5235105151176537
411.0,0.5290951865041047
413.0,0.534552043447915
415.0,0.5399009915763047
417.0,0.5452499822614547
419.0,0.5504813300917422
421.0,0.5557061572914432
423.0,0.5607964717060623
425.0,0.565807144199691
427.0,0.5706797104304234
429.0,0.5755999179135928
431.0,0.5803445021311877
433.0,0.5850708388011594
435.0,0.5896683872466155
437.0,0.5940922487108121
439.0,0.5984567517022885
441.0,0.6028475441164745
443.0,0.6071540471138194
445.0,0.611484383699929
447.0,0.6157129115190236
449.0,0.6196712864793694
451.0,0.623641704193557
453.0,0.6275263727744685
455.0,0.631405259844845
457.0,0.6353497091633395
459.0,0.6391684748216242
461.0,0.6426617325710933
463.0,0.6460188948139418
465.0,0.6490598955882848
467.0,0.6517167152134327
469.0,0.6543483671713675
471.0,0.6571589421535896
473.0,0.6601079851430063
475.0,0.6631519852078792
477.0,0.6660821429735755
479.0,0.6690709131946265
481.0,0.6720606838776232
483.0,0.6751280147954976
485.0,0.6783051318336893
487.0,0.6817192928399451
489.0,0.685132728216468
491.0,0.6881710939284
493.0,0.6906195537073607
495.0,0.6919735966884375
497.0,0.6936700765120045
499.0,0.6954502458451179
501.0,0.6973750098307716
503.0,0.6993280955522397
505.0,0.7013160952696547
507.0,0.7032683581421253
509.0,0.705172674996698
511.0,0.7070510955412914
513.0,0.7090607954205692
515.0,0.7118056643063831
517.0,0.7138406670074122
519.0,0.7154257733903908
521.0,0.7166318878652256
523.0,0.7175979160354838
525.0,0.7184925243962734
527.0,0.7194289067802745
529.0,0.7204087053934557
531.0,0.7213954437447101
