wavelength,transmission
100,0
150,0
200,0
250,0
289,2.38304591575367E-05
291,0.000123474517331097
293,0.00044797340374535
295,0.001268794659784
297,0.00306525483677418
299,0.00628277421571685
301,0.011503412023011
303,0.0187112218652243
305,0.0278136943883599
307,0.0392400833038083
309,0.0524602581791335
311,0.0669115818628955
313,0.08318278713765
315,0.102418684315102
317,0.121524713245138
319,0.138972738748812
321,0.157352749615669
323,0.1748314158537
325,0.190659435576103
327,0.205992969279565
329,0.220117195148564
331,0.233695021033335
333,0.246346077944779
335,0.255969981408825
337,0.265970546328042
339,0.276996756786681
341,0.285912409147397
343,0.294436948102776
345,0.303459213405158
347,0.311454767664466
349,0.319488958523585
351,0.327393222748117
353,0.335046252907238
355,0.343133454824557
357,0.350728067983383
359,0.358205716271303
361,0.365635294223442
363,0.373062160844044
365,0.380472852523698
367,0.387723700540363
369,0.394966851815365
371,0.40212042590857
373,0.409189783546118
375,0.416110144871335
377,0.422999056641599
379,0.429871174815435
381,0.436619919908297
383,0.443285256864696
385,0.449890329284442
387,0.456430374513782
389,0.462937442475774
391,0.46949259317865
393,0.475902165367803
395,0.482177678469364
397,0.488338518481617
399,0.494379398090299
401,0.500326283353001
403,0.506264246973863
405,0.512036798502706
407,0.517828352343983
409,0.523510515117654
411,0.529095186504105
413,0.534552043447915
415,0.539900991576305
417,0.545249982261455
419,0.550481330091742
421,0.555706157291443
423,0.560796471706062
425,0.565807144199691
427,0.570679710430423
429,0.575599917913593
431,0.580344502131188
433,0.585070838801159
435,0.589668387246616
437,0.594092248710812
439,0.598456751702289
441,0.602847544116475
443,0.607154047113819
445,0.611484383699929
447,0.615712911519024
449,0.619671286479369
451,0.623641704193557
453,0.627526372774469
455,0.631405259844845
457,0.63534970916334
459,0.639168474821624
461,0.642661732571093
463,0.646018894813942
465,0.649059895588285
467,0.651716715213433
469,0.654348367171368
471,0.65715894215359
473,0.660107985143006
475,0.663151985207879
477,0.666082142973576
479,0.669070913194627
481,0.672060683877623
483,0.675128014795498
485,0.678305131833689
487,0.681719292839945
489,0.685132728216468
491,0.6881710939284
493,0.690619553707361
495,0.691973596688438
497,0.693670076512005
499,0.695450245845118
501,0.697375009830772
503,0.69932809555224
505,0.701316095269655
507,0.703268358142125
509,0.705172674996698
511,0.707051095541291
513,0.709060795420569
515,0.711805664306383
517,0.713840667007412
519,0.715425773390391
521,0.716631887865226
523,0.717597916035484
525,0.718492524396273
527,0.719428906780275
529,0.720408705393456
531,0.72139544374471
533,0.722179369708334
535,0.72305091940296
537,0.72386355593663
539,0.725019063848354
541,0.726406213629505
543,0.727858144041576
545,0.729168236230083
547,0.730278059735328
549,0.731102878927669
551,0.731796371524409
553,0.732590086645011
555,0.733130769712286
557,0.733666058167181
559,0.73356965318199
561,0.732740351486294
563,0.731603815729505
565,0.730331773758716
567,0.728976950069562
569,0.727997011883599
571,0.727912194919963
573,0.72861143748139
575,0.729943586306401
577,0.731496309520686
579,0.732188559019171
581,0.731289469394121
583,0.731140111853823
585,0.731747471834151
587,0.733421991179181
589,0.735102063002378
591,0.736754780966262
593,0.738006035618076
595,0.738872099786339
597,0.740000722257085
599,0.74288031628212
601,0.748131264340309
603,0.752999742365856
605,0.757410017308903
607,0.761139378496157
609,0.764694921967786
611,0.767404448560422
613,0.768774192617653
615,0.769722454904487
617,0.770931457651511
619,0.767266931128316
621,0.766095798278529
623,0.766603095445881
625,0.768209873743076
627,0.769988620564436
629,0.772100123371591
631,0.774733226051707
633,0.778746007765151
635,0.783259023377642
637,0.786528078734757
639,0.792518335302706
641,0.797505055968326
643,0.79891311939788
645,0.801381956120107
647,0.80310560842186
